#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Customentity|identifiier|value


#Text=LONDON FASHIONS FOR FEBRUARY.
1-1	0-6	LONDON	https://en.wikipedia.org/wiki/London	LOC	
1-2	7-15	FASHIONS	_	_	
1-3	16-19	FOR	_	_	
1-4	20-28	FEBRUARY	_	_	
1-5	28-29	.	_	_	

#Text=Evening Drew,—A dress of rose-coloured gros dc Naples, trimmed at the border with full and long puffings, in two distinct rows ; the puffs are fluted, which imparts a richness to this novel kind of ornament The body fits close to the shape, and is ornamented lengthwise, down the bust, with rouleaux of satin, dividing en gerlte, and brought together in a point under the belt The sleeves lit nearly close to the arm, and are surmounted by very full but plain mancherons ; at the wrists are worn broad gold bracelets, fastened with a cameo.
2-1	31-38	Evening	_	_	
2-2	39-43	Drew	_	_	
2-3	43-44	,	_	_	
2-4	44-45	—	_	_	
2-5	45-46	A	_	_	
2-6	47-52	dress	_	_	
2-7	53-55	of	_	_	
2-8	56-69	rose-coloured	_	_	
2-9	70-74	gros	_	_	
2-10	75-77	dc	_	_	
2-11	78-84	Naples	_	_	
2-12	84-85	,	_	_	
2-13	86-93	trimmed	_	_	
2-14	94-96	at	_	_	
2-15	97-100	the	_	_	
2-16	101-107	border	_	_	
2-17	108-112	with	_	_	
2-18	113-117	full	_	_	
2-19	118-121	and	_	_	
2-20	122-126	long	_	_	
2-21	127-135	puffings	_	_	
2-22	135-136	,	_	_	
2-23	137-139	in	_	_	
2-24	140-143	two	_	_	
2-25	144-152	distinct	_	_	
2-26	153-157	rows	_	_	
2-27	158-159	;	_	_	
2-28	160-163	the	_	_	
2-29	164-169	puffs	_	_	
2-30	170-173	are	_	_	
2-31	174-180	fluted	_	_	
2-32	180-181	,	_	_	
2-33	182-187	which	_	_	
2-34	188-195	imparts	_	_	
2-35	196-197	a	_	_	
2-36	198-206	richness	_	_	
2-37	207-209	to	_	_	
2-38	210-214	this	_	_	
2-39	215-220	novel	_	_	
2-40	221-225	kind	_	_	
2-41	226-228	of	_	_	
2-42	229-237	ornament	_	_	
2-43	238-241	The	_	_	
2-44	242-246	body	_	_	
2-45	247-251	fits	_	_	
2-46	252-257	close	_	_	
2-47	258-260	to	_	_	
2-48	261-264	the	_	_	
2-49	265-270	shape	_	_	
2-50	270-271	,	_	_	
2-51	272-275	and	_	_	
2-52	276-278	is	_	_	
2-53	279-289	ornamented	_	_	
2-54	290-300	lengthwise	_	_	
2-55	300-301	,	_	_	
2-56	302-306	down	_	_	
2-57	307-310	the	_	_	
2-58	311-315	bust	_	_	
2-59	315-316	,	_	_	
2-60	317-321	with	_	_	
2-61	322-330	rouleaux	_	_	
2-62	331-333	of	_	_	
2-63	334-339	satin	_	_	
2-64	339-340	,	_	_	
2-65	341-349	dividing	_	_	
