#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Customentity|identifiier|value


#Text=WEYMOUTH.
1-1	0-8	WEYMOUTH	https://en.wikipedia.org/wiki/Weymouth,\_Dorset	LOC	
1-2	8-9	.	_	_	

#Text=R WOOD WARD, Printer, Bookbinder, • and Stationer, 69, St.
2-1	11-12	R	_	_	
2-2	13-17	WOOD	_	_	
2-3	18-22	WARD	_	_	
2-4	22-23	,	_	_	
2-5	24-31	Printer	_	_	
2-6	31-32	,	_	_	
2-7	33-43	Bookbinder	_	_	
2-8	43-44	,	_	_	
2-9	45-46	•	_	_	
2-10	47-50	and	_	_	
2-11	51-60	Stationer	_	_	
2-12	60-61	,	_	_	
2-13	62-64	69	_	_	
2-14	64-65	,	_	_	
2-15	66-68	St	*[1]	STREET[1]	
2-16	68-69	.	*[1]	STREET[1]	

#Text=Mary Street, impressed with gratitude for the numerous favours conferred on him since his commencement as above, begs to offer his sincere acknowledgments ; and earnestly hopes, that by embracing every improvement, strict assiduity, and reasonable charges, lie shall ensure a share of public patronage in future.
3-1	70-74	Mary	*[1]	STREET[1]	
3-2	75-81	Street	*[1]	STREET[1]	
3-3	81-82	,	_	_	
3-4	83-92	impressed	_	_	
3-5	93-97	with	_	_	
3-6	98-107	gratitude	_	_	
3-7	108-111	for	_	_	
3-8	112-115	the	_	_	
3-9	116-124	numerous	_	_	
3-10	125-132	favours	_	_	
3-11	133-142	conferred	_	_	
3-12	143-145	on	_	_	
3-13	146-149	him	_	_	
3-14	150-155	since	_	_	
3-15	156-159	his	_	_	
3-16	160-172	commencement	_	_	
3-17	173-175	as	_	_	
3-18	176-181	above	_	_	
3-19	181-182	,	_	_	
3-20	183-187	begs	_	_	
3-21	188-190	to	_	_	
3-22	191-196	offer	_	_	
3-23	197-200	his	_	_	
3-24	201-208	sincere	_	_	
3-25	209-224	acknowledgments	_	_	
3-26	225-226	;	_	_	
3-27	227-230	and	_	_	
3-28	231-240	earnestly	_	_	
3-29	241-246	hopes	_	_	
3-30	246-247	,	_	_	
3-31	248-252	that	_	_	
3-32	253-255	by	_	_	
3-33	256-265	embracing	_	_	
3-34	266-271	every	_	_	
3-35	272-283	improvement	_	_	
3-36	283-284	,	_	_	
3-37	285-291	strict	_	_	
3-38	292-301	assiduity	_	_	
3-39	301-302	,	_	_	
3-40	303-306	and	_	_	
3-41	307-317	reasonable	_	_	
3-42	318-325	charges	_	_	
3-43	325-326	,	_	_	
3-44	327-330	lie	_	_	
3-45	331-336	shall	_	_	
3-46	337-343	ensure	_	_	
3-47	344-345	a	_	_	
3-48	346-351	share	_	_	
3-49	352-354	of	_	_	
3-50	355-361	public	_	_	
