#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Customentity|identifiier|value


#Text=LYND H UR ST.
1-1	0-4	LYND	https://en.wikipedia.org/wiki/Lyndhurst,\_Hampshire[1]	LOC[1]	
1-2	5-6	H	https://en.wikipedia.org/wiki/Lyndhurst,\_Hampshire[1]	LOC[1]	
1-3	7-9	UR	https://en.wikipedia.org/wiki/Lyndhurst,\_Hampshire[1]	LOC[1]	
1-4	10-12	ST	https://en.wikipedia.org/wiki/Lyndhurst,\_Hampshire[1]	LOC[1]	
1-5	12-13	.	_	_	

#Text=CAPITAL RUN WITH THE New FOREST Fox HOUND.
2-1	15-22	CAPITAL	_	_	
2-2	23-26	RUN	_	_	
2-3	27-31	WITH	_	_	
2-4	32-35	THE	_	_	
2-5	36-39	New	https://en.wikipedia.org/wiki/New\_Forest[2]	LOC[2]	
2-6	40-46	FOREST	https://en.wikipedia.org/wiki/New\_Forest[2]	LOC[2]	
2-7	47-50	Fox	_	_	
2-8	51-56	HOUND	_	_	
2-9	56-57	.	_	_	

#Text=—On Thursday, the 9th instant, the New Forest fox hounds met at Boldrewood, arid drew Holme Hill Inclousure, where the famous bitch pock soon winded a Inc old fox, who stole away over the Ringwood rued to Gillett Inclusure.
3-1	58-59	—	_	_	
3-2	59-61	On	_	_	
3-3	62-70	Thursday	_	_	
3-4	70-71	,	_	_	
3-5	72-75	the	_	_	
3-6	76-79	9th	_	_	
3-7	80-87	instant	_	_	
3-8	87-88	,	_	_	
3-9	89-92	the	_	_	
3-10	93-96	New	https://en.wikipedia.org/wiki/New\_Forest[3]	LOC[3]	
3-11	97-103	Forest	https://en.wikipedia.org/wiki/New\_Forest[3]	LOC[3]	
3-12	104-107	fox	_	_	
3-13	108-114	hounds	_	_	
3-14	115-118	met	_	_	
3-15	119-121	at	_	_	
3-16	122-132	Boldrewood	https://en.wikipedia.org/wiki/Bolderwood,\_Hampshire	LOC	
3-17	132-133	,	_	_	
3-18	134-138	arid	_	_	
3-19	139-143	drew	_	_	
3-20	144-149	Holme	_	_	
3-21	150-154	Hill	_	_	
3-22	155-165	Inclousure	_	_	
3-23	165-166	,	_	_	
3-24	167-172	where	_	_	
3-25	173-176	the	_	_	
3-26	177-183	famous	_	_	
3-27	184-189	bitch	_	_	
3-28	190-194	pock	_	_	
3-29	195-199	soon	_	_	
3-30	200-206	winded	_	_	
3-31	207-208	a	_	_	
3-32	209-212	Inc	_	_	
3-33	213-216	old	_	_	
3-34	217-220	fox	_	_	
3-35	220-221	,	_	_	
3-36	222-225	who	_	_	
3-37	226-231	stole	_	_	
3-38	232-236	away	_	_	
3-39	237-241	over	_	_	
3-40	242-245	the	_	_	
3-41	246-254	Ringwood	https://en.wikipedia.org/wiki/Ringwood	LOC	
3-42	255-259	rued	_	_	
3-43	260-262	to	_	_	
3-44	263-270	Gillett	_	_	
3-45	271-280	Inclusure	_	_	
3-46	280-281	.	_	_	

#Text=%here he turned to the right and crossed Church Moor, thence at a clipping pace, to Burley ; leaving Burley to the left, he pushed forward through Beech Beds to the earths at Oakley, where, to his aurprse, he found no admission.
4-1	282-283	%	_	_	
4-2	283-287	here	_	_	
4-3	288-290	he	_	_	
4-4	291-297	turned	_	_	
4-5	298-300	to	_	_	
4-6	301-304	the	_	_	
4-7	305-310	right	_	_	
4-8	311-314	and	_	_	
4-9	315-322	crossed	_	_	
4-10	323-329	Church	*[4]	LOC[4]	
4-11	330-334	Moor	*[4]	LOC[4]	
4-12	334-335	,	_	_	
4-13	336-342	thence	_	_	
4-14	343-345	at	_	_	
4-15	346-347	a	_	_	
4-16	348-356	clipping	_	_	
4-17	357-361	pace	_	_	
4-18	361-362	,	_	_	
4-19	363-365	to	_	_	
4-20	366-372	Burley	https://en.wikipedia.org/wiki/Burley,\_Hampshire	LOC	
4-21	373-374	;	_	_	
4-22	375-382	leaving	_	_	
4-23	383-389	Burley	https://en.wikipedia.org/wiki/Burley,\_Hampshire	LOC	
4-24	390-392	to	_	_	
4-25	393-396	the	_	_	
4-26	397-401	left	_	_	
4-27	401-402	,	_	_	
4-28	403-405	he	_	_	
4-29	406-412	pushed	_	_	
4-30	413-420	forward	_	_	
4-31	421-428	through	_	_	
4-32	429-434	Beech	*[5]	LOC[5]	
4-33	435-439	Beds	*[5]	LOC[5]	
4-34	440-442	to	_	_	
4-35	443-446	the	_	_	
4-36	447-453	earths	_	_	
4-37	454-456	at	_	_	
4-38	457-463	Oakley	*	LOC	
4-39	463-464	,	_	_	
4-40	465-470	where	_	_	
4-41	470-471	,	_	_	
4-42	472-474	to	_	_	
4-43	475-478	his	_	_	
4-44	479-486	aurprse	_	_	
4-45	486-487	,	_	_	
4-46	488-490	he	_	_	
4-47	491-496	found	_	_	
4-48	497-499	no	_	_	
4-49	500-509	admission	_	_	
4-50	509-510	.	_	_	

#Text=He then made a turn back over Buldre. wood Hill to Gillett Inclosure, and through Hulme Hill, to Thrifty Beeches ; here he again turned to the lett, sod ran almost in a straight direction • distance of five miles to Over Fields ; then took • backward direction to Holme !
5-1	511-513	He	_	_	
5-2	514-518	then	_	_	
5-3	519-523	made	_	_	
5-4	524-525	a	_	_	
5-5	526-530	turn	_	_	
5-6	531-535	back	_	_	
5-7	536-540	over	_	_	
5-8	541-547	Buldre	https://en.wikipedia.org/wiki/Bolderwood,\_Hampshire[6]	LOC[6]	
5-9	547-548	.	https://en.wikipedia.org/wiki/Bolderwood,\_Hampshire[6]	LOC[6]	
5-10	549-553	wood	https://en.wikipedia.org/wiki/Bolderwood,\_Hampshire[6]	LOC[6]	
5-11	554-558	Hill	_	_	
5-12	559-561	to	_	_	
5-13	562-569	Gillett	*[7]	LOC[7]	
5-14	570-579	Inclosure	*[7]	LOC[7]	
5-15	579-580	,	_	_	
5-16	581-584	and	_	_	
5-17	585-592	through	_	_	
5-18	593-598	Hulme	*[8]	LOC[8]	
5-19	599-603	Hill	*[8]	LOC[8]	
5-20	603-604	,	_	_	
5-21	605-607	to	_	_	
5-22	608-615	Thrifty	*[9]	LOC[9]	
5-23	616-623	Beeches	*[9]	LOC[9]	
5-24	624-625	;	_	_	
5-25	626-630	here	_	_	
5-26	631-633	he	_	_	
5-27	634-639	again	_	_	
5-28	640-646	turned	_	_	
5-29	647-649	to	_	_	
5-30	650-653	the	_	_	
5-31	654-658	lett	_	_	
5-32	658-659	,	_	_	
5-33	660-663	sod	_	_	
5-34	664-667	ran	_	_	
5-35	668-674	almost	_	_	
5-36	675-677	in	_	_	
