#FORMAT=WebAnno TSV 3.2


#Text=INTERNATIONAL EXHIBITION OF 1862.
1-1	0-13	INTERNATIONAL	
1-2	14-24	EXHIBITION	
1-3	25-27	OF	
1-4	28-32	1862	
1-5	32-33	.	

#Text=A letter has been addressed to the Secretary of the Society of Arts, by command cf his Royal Highness tee Prince Consort, president tf the society, expressing the re idineas of his Boy 4 Highnese to 11 ice bis name on the list < f gua-antcrs fcr the sum of £10,000, so soon as the sum of £240.000 has been subscribedThe sums already srusr itteed for carrying out this exhibition amount to ±176,000.
2-1	35-36	A	
2-2	37-43	letter	
2-3	44-47	has	
2-4	48-52	been	
2-5	53-62	addressed	
2-6	63-65	to	
2-7	66-69	the	
2-8	70-79	Secretary	
2-9	80-82	of	
2-10	83-86	the	
2-11	87-94	Society	
2-12	95-97	of	
2-13	98-102	Arts	
2-14	102-103	,	
2-15	104-106	by	
2-16	107-114	command	
2-17	115-117	cf	
2-18	118-121	his	
2-19	122-127	Royal	
2-20	128-136	Highness	
2-21	137-140	tee	
2-22	141-147	Prince	
2-23	148-155	Consort	
2-24	155-156	,	
2-25	157-166	president	
2-26	167-169	tf	
2-27	170-173	the	
2-28	174-181	society	
2-29	181-182	,	
2-30	183-193	expressing	
2-31	194-197	the	
2-32	198-200	re	
2-33	201-208	idineas	
2-34	209-211	of	
2-35	212-215	his	
2-36	216-219	Boy	
2-37	220-221	4	
2-38	222-230	Highnese	
2-39	231-233	to	
2-40	234-236	11	
2-41	237-240	ice	
2-42	241-244	bis	
2-43	245-249	name	
2-44	250-252	on	
2-45	253-256	the	
2-46	257-261	list	
2-47	262-263	<	
2-48	264-265	f	
2-49	266-276	gua-antcrs	
2-50	277-280	fcr	
2-51	281-284	the	
2-52	285-288	sum	
2-53	289-291	of	
2-54	292-299	£10,000	
2-55	299-300	,	
2-56	301-303	so	
2-57	304-308	soon	
2-58	309-311	as	
2-59	312-315	the	
2-60	316-319	sum	
2-61	320-322	of	
2-62	323-331	£240.000	
2-63	332-335	has	
2-64	336-340	been	
2-65	341-354	subscribedThe	
2-66	355-359	sums	
2-67	360-367	already	
2-68	368-373	srusr	
2-69	374-380	itteed	
2-70	381-384	for	
2-71	385-393	carrying	
2-72	394-397	out	
2-73	398-402	this	
2-74	403-413	exhibition	
2-75	414-420	amount	
2-76	421-423	to	
2-77	424-425	±	
2-78	425-432	176,000	
2-79	432-433	.	

#Text=The principal conditions of the guaranteed agreemert are:— i U Bub"cnber wi)l incu any liability until tt ltaat £250,000 have been guaranteed. 21.
3-1	434-437	The	
3-2	438-447	principal	
3-3	448-458	conditions	
3-4	459-461	of	
3-5	462-465	the	
3-6	466-476	guaranteed	
3-7	477-486	agreemert	
3-8	487-490	are	
3-9	490-491	:	
3-10	491-492	—	
3-11	493-494	i	
3-12	495-496	U	
3-13	497-506	Bub"cnber	
3-14	507-509	wi	
3-15	509-510	)	
3-16	510-511	l	
3-17	512-516	incu	
3-18	517-520	any	
3-19	521-530	liability	
3-20	531-536	until	
3-21	537-539	tt	
3-22	540-545	ltaat	
3-23	546-554	£250,000	
3-24	555-559	have	
3-25	560-564	been	
3-26	565-575	guaranteed	
3-27	575-576	.	
3-28	577-579	21	
3-29	579-580	.	

#Text=That no calls will be made unless it should happen that, contrary to the experience cf he Exhibition of 1851, when there was a surplus of nearly £200,000, there should be a loss, when tbe call will be p<o rata. 31.
4-1	581-585	That	
4-2	586-588	no	
4-3	589-594	calls	
4-4	595-599	will	
4-5	600-602	be	
4-6	603-607	made	
4-7	608-614	unless	
4-8	615-617	it	
4-9	618-624	should	
4-10	625-631	happen	
4-11	632-636	that	
