#FORMAT=WebAnno TSV 3.2


#Text=FEMALE FASHIONS FOR NOVEMBER.
1-1	0-6	FEMALE	
1-2	7-15	FASHIONS	
1-3	16-19	FOR	
1-4	20-28	NOVEMBER	
1-5	28-29	.	

#Text=The pelis es and mantles most in favour, aie mahogany brown levantine, or gros de Sophs, lined with rose colour, or with some bright winter colour, fiiese have been seen on ladies of distinction and are expected to prevail much during November and part of December. .Some pelisses of ruby and other refulgent colours have been seen in carriages, and will be, no doubt, in favour among the higher classes during the winter, when valuable fur will be added to render them thoroughly appropriate to the gelid season.
2-1	31-34	The	
2-2	35-40	pelis	
2-3	41-43	es	
2-4	44-47	and	
2-5	48-55	mantles	
2-6	56-60	most	
2-7	61-63	in	
2-8	64-70	favour	
2-9	70-71	,	
2-10	72-75	aie	
2-11	76-84	mahogany	
2-12	85-90	brown	
2-13	91-100	levantine	
2-14	100-101	,	
2-15	102-104	or	
2-16	105-109	gros	
2-17	110-112	de	
2-18	113-118	Sophs	
2-19	118-119	,	
2-20	120-125	lined	
2-21	126-130	with	
2-22	131-135	rose	
2-23	136-142	colour	
2-24	142-143	,	
2-25	144-146	or	
2-26	147-151	with	
2-27	152-156	some	
2-28	157-163	bright	
2-29	164-170	winter	
2-30	171-177	colour	
2-31	177-178	,	
2-32	179-185	fiiese	
2-33	186-190	have	
2-34	191-195	been	
2-35	196-200	seen	
2-36	201-203	on	
2-37	204-210	ladies	
2-38	211-213	of	
2-39	214-225	distinction	
2-40	226-229	and	
2-41	230-233	are	
2-42	234-242	expected	
2-43	243-245	to	
2-44	246-253	prevail	
2-45	254-258	much	
2-46	259-265	during	
2-47	266-274	November	
2-48	275-278	and	
2-49	279-283	part	
2-50	284-286	of	
2-51	287-295	December	
2-52	295-296	.	
2-53	297-298	.	
2-54	298-302	Some	
2-55	303-311	pelisses	
2-56	312-314	of	
2-57	315-319	ruby	
2-58	320-323	and	
2-59	324-329	other	
2-60	330-339	refulgent	
2-61	340-347	colours	
2-62	348-352	have	
2-63	353-357	been	
2-64	358-362	seen	
2-65	363-365	in	
2-66	366-375	carriages	
2-67	375-376	,	
2-68	377-380	and	
2-69	381-385	will	
2-70	386-388	be	
2-71	388-389	,	
2-72	390-392	no	
2-73	393-398	doubt	
2-74	398-399	,	
2-75	400-402	in	
2-76	403-409	favour	
2-77	410-415	among	
2-78	416-419	the	
2-79	420-426	higher	
2-80	427-434	classes	
2-81	435-441	during	
2-82	442-445	the	
2-83	446-452	winter	
2-84	452-453	,	
2-85	454-458	when	
2-86	459-467	valuable	
2-87	468-471	fur	
2-88	472-476	will	
2-89	477-479	be	
2-90	480-485	added	
2-91	486-488	to	
2-92	489-495	render	
2-93	496-500	them	
2-94	501-511	thoroughly	
2-95	512-523	appropriate	
2-96	524-526	to	
