#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Customentity|identifiier|value


#Text=ASHTON TOWN COUNCIL.
1-1	0-6	ASHTON	https://en.wikipedia.org/wiki/Ashton-under-Lyne	LOC	
1-2	7-11	TOWN	_	_	
1-3	12-19	COUNCIL	_	_	
1-4	19-20	.	_	_	

#Text=The monthly meeting of this corporation was held on Wednesday evening in the Council Chamber, at the Town HalL There were present Aldermen Mason (in the chair), B.
2-1	22-25	The	_	_	
2-2	26-33	monthly	_	_	
2-3	34-41	meeting	_	_	
2-4	42-44	of	_	_	
2-5	45-49	this	_	_	
2-6	50-61	corporation	_	_	
2-7	62-65	was	_	_	
2-8	66-70	held	_	_	
2-9	71-73	on	_	_	
2-10	74-83	Wednesday	_	_	
2-11	84-91	evening	_	_	
2-12	92-94	in	_	_	
2-13	95-98	the	_	_	
2-14	99-106	Council	_	_	
2-15	107-114	Chamber	_	_	
2-16	114-115	,	_	_	
2-17	116-118	at	_	_	
2-18	119-122	the	_	_	
2-19	123-127	Town	*[1]	BUILDING[1]	
2-20	128-132	HalL	*[1]	BUILDING[1]	
2-21	133-138	There	_	_	
2-22	139-143	were	_	_	
2-23	144-151	present	_	_	
2-24	152-160	Aldermen	_	_	
2-25	161-166	Mason	_	_	
2-26	167-168	(	_	_	
2-27	168-170	in	_	_	
2-28	171-174	the	_	_	
2-29	175-180	chair	_	_	
2-30	180-181	)	_	_	
2-31	181-182	,	_	_	
2-32	183-184	B	_	_	
2-33	184-185	.	_	_	

#Text=M.
3-1	186-187	M	_	_	
3-2	187-188	.	_	_	

#Text=Kenworthy, J.
4-1	189-198	Kenworthy	_	_	
4-2	198-199	,	_	_	
4-3	200-201	J	_	_	
4-4	201-202	.	_	_	

#Text=Buckley, F.
5-1	203-210	Buckley	_	_	
5-2	210-211	,	_	_	
5-3	212-213	F	_	_	
5-4	213-214	.	_	_	

#Text=A.
6-1	215-216	A	_	_	
6-2	216-217	.	_	_	

#Text=Frost; and Councillors Sutcliffe, Charlesworth, Wood, Cooke, Kenworthy, Newton, Bancroft, Thomas, Tipping, Walker, Eaton, Hemingway, Moss, Wilson, Linaard, Mellor, and Littlewood.
7-1	218-223	Frost	_	_	
7-2	223-224	;	_	_	
7-3	225-228	and	_	_	
7-4	229-240	Councillors	_	_	
7-5	241-250	Sutcliffe	_	_	
7-6	250-251	,	_	_	
7-7	252-264	Charlesworth	_	_	
7-8	264-265	,	_	_	
7-9	266-270	Wood	_	_	
7-10	270-271	,	_	_	
7-11	272-277	Cooke	_	_	
7-12	277-278	,	_	_	
7-13	279-288	Kenworthy	_	_	
7-14	288-289	,	_	_	
7-15	290-296	Newton	_	_	
7-16	296-297	,	_	_	
7-17	298-306	Bancroft	_	_	
7-18	306-307	,	_	_	
7-19	308-314	Thomas	_	_	
7-20	314-315	,	_	_	
7-21	316-323	Tipping	_	_	
7-22	323-324	,	_	_	
7-23	325-331	Walker	_	_	
7-24	331-332	,	_	_	
7-25	333-338	Eaton	_	_	
7-26	338-339	,	_	_	
7-27	340-349	Hemingway	_	_	
7-28	349-350	,	_	_	
7-29	351-355	Moss	_	_	
7-30	355-356	,	_	_	
7-31	357-363	Wilson	_	_	
7-32	363-364	,	_	_	
7-33	365-372	Linaard	_	_	
7-34	372-373	,	_	_	
7-35	374-380	Mellor	_	_	
7-36	380-381	,	_	_	
7-37	382-385	and	_	_	
7-38	386-396	Littlewood	_	_	
7-39	396-397	.	_	_	

#Text=Councillor Wood moved that Alderman Mason take the chair in consequence of the absence of the Mayor and the deputy-mayor.
8-1	398-408	Councillor	_	_	
8-2	409-413	Wood	_	_	
8-3	414-419	moved	_	_	
8-4	420-424	that	_	_	
8-5	425-433	Alderman	_	_	
8-6	434-439	Mason	_	_	
8-7	440-444	take	_	_	
8-8	445-448	the	_	_	
8-9	449-454	chair	_	_	
8-10	455-457	in	_	_	
8-11	458-469	consequence	_	_	
8-12	470-472	of	_	_	
8-13	473-476	the	_	_	
8-14	477-484	absence	_	_	
8-15	485-487	of	_	_	
8-16	488-491	the	_	_	
8-17	492-497	Mayor	_	_	
8-18	498-501	and	_	_	
8-19	502-505	the	_	_	
8-20	506-518	deputy-mayor	_	_	
8-21	518-519	.	_	_	

#Text=-Alderman James Buckley seconded the motion, which was carried.
9-1	520-521	-	_	_	
9-2	521-529	Alderman	_	_	
9-3	530-535	James	_	_	
9-4	536-543	Buckley	_	_	
9-5	544-552	seconded	_	_	
9-6	553-556	the	_	_	
9-7	557-563	motion	_	_	
9-8	563-564	,	_	_	
9-9	565-570	which	_	_	
9-10	571-574	was	_	_	
9-11	575-582	carried	_	_	
9-12	582-583	.	_	_	

#Text=Alderman MaSOX explained that the Mayor was absent in London, upon the deputation from the council against the Oldham and the Mossley Waterworks Bills, both of which were before the same committee of the House of Commons.
10-1	585-593	Alderman	_	_	
10-2	594-599	MaSOX	_	_	
10-3	600-609	explained	_	_	
10-4	610-614	that	_	_	
10-5	615-618	the	_	_	
10-6	619-624	Mayor	_	_	
10-7	625-628	was	_	_	
10-8	629-635	absent	_	_	
10-9	636-638	in	_	_	
10-10	639-645	London	https://en.wikipedia.org/wiki/London	LOC	
10-11	645-646	,	_	_	
10-12	647-651	upon	_	_	
10-13	652-655	the	_	_	
10-14	656-666	deputation	_	_	
10-15	667-671	from	_	_	
10-16	672-675	the	_	_	
10-17	676-683	council	_	_	
10-18	684-691	against	_	_	
10-19	692-695	the	_	_	
10-20	696-702	Oldham	https://en.wikipedia.org/wiki/Oldham	LOC	
10-21	703-706	and	_	_	
10-22	707-710	the	_	_	
10-23	711-718	Mossley	https://en.wikipedia.org/wiki/Mossley	LOC	
10-24	719-729	Waterworks	_	_	
10-25	730-735	Bills	_	_	
10-26	735-736	,	_	_	
10-27	737-741	both	_	_	
10-28	742-744	of	_	_	
