#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Customentity|identifiier|value


#Text=MANCHESTER MERCURY.
1-1	0-10	MANCHESTER	https://en.wikipedia.org/wiki/Manchester	LOC	
1-2	11-18	MERCURY	_	_	
1-3	18-19	.	_	_	

#Text=TUESDAY, March 15, 1808.
2-1	20-27	TUESDAY	_	_	
2-2	27-28	,	_	_	
2-3	29-34	March	_	_	
2-4	35-37	15	_	_	
2-5	37-38	,	_	_	
2-6	39-43	1808	_	_	
2-7	43-44	.	_	_	

#Text=MARRIED.
3-1	45-52	MARRIED	_	_	
3-2	52-53	.	_	_	

#Text=On the 2.1th ult.
4-1	54-56	On	_	_	
4-2	57-60	the	_	_	
4-3	61-66	2.1th	_	_	
4-4	67-70	ult	_	_	
4-5	70-71	.	_	_	

#Text=Mr Berrj.
5-1	72-74	Mr	_	_	
5-2	75-80	Berrj	_	_	
5-3	80-81	.	_	_	

#Text=Goodwin, of Burslem, to Miss Thtodosia Clulow, of Congleton —On the 1st inst.
6-1	82-89	Goodwin	_	_	
6-2	89-90	,	_	_	
6-3	91-93	of	_	_	
6-4	94-101	Burslem	https://en.wikipedia.org/wiki/Burslem	LOC	
6-5	101-102	,	_	_	
6-6	103-105	to	_	_	
6-7	106-110	Miss	_	_	
6-8	111-120	Thtodosia	_	_	
6-9	121-127	Clulow	_	_	
6-10	127-128	,	_	_	
6-11	129-131	of	_	_	
6-12	132-141	Congleton	https://en.wikipedia.org/wiki/Congleton	LOC	
6-13	142-143	—	_	_	
6-14	143-145	On	_	_	
6-15	146-149	the	_	_	
6-16	150-153	1st	_	_	
6-17	154-158	inst	_	_	
6-18	158-159	.	_	_	

#Text=Mr Henry Shaw, solicitor, to Miss Margaret Jackon, both of Ulverston.
7-1	160-162	Mr	_	_	
7-2	163-168	Henry	_	_	
7-3	169-173	Shaw	_	_	
7-4	173-174	,	_	_	
7-5	175-184	solicitor	_	_	
7-6	184-185	,	_	_	
7-7	186-188	to	_	_	
7-8	189-193	Miss	_	_	
7-9	194-202	Margaret	_	_	
7-10	203-209	Jackon	_	_	
7-11	209-210	,	_	_	
7-12	211-215	both	_	_	
7-13	216-218	of	_	_	
7-14	219-228	Ulverston	https://en.wikipedia.org/wiki/Ulverston	LOC	
7-15	228-229	.	_	_	

#Text=—On Sunday last at Eccles, Mr Robert MTurk, to Mi-s Sarah Stopford, both of this town.— Monday last, at Stockport, Mr Wm, Fides, of this town, to Miss Mary Pritchaul, of Chester.
8-1	229-230	—	_	_	
8-2	230-232	On	_	_	
8-3	233-239	Sunday	_	_	
8-4	240-244	last	_	_	
8-5	245-247	at	_	_	
8-6	248-254	Eccles	https://en.wikipedia.org/wiki/Eccles,\_Greater\_Manchester	LOC	
8-7	254-255	,	_	_	
8-8	256-258	Mr	_	_	
8-9	259-265	Robert	_	_	
8-10	266-271	MTurk	_	_	
8-11	271-272	,	_	_	
8-12	273-275	to	_	_	
8-13	276-280	Mi-s	_	_	
8-14	281-286	Sarah	_	_	
8-15	287-295	Stopford	_	_	
8-16	295-296	,	_	_	
8-17	297-301	both	_	_	
8-18	302-304	of	_	_	
8-19	305-309	this	_	_	
8-20	310-314	town	_	_	
8-21	314-315	.	_	_	
8-22	315-316	—	_	_	
8-23	317-323	Monday	_	_	
8-24	324-328	last	_	_	
8-25	328-329	,	_	_	
8-26	330-332	at	_	_	
8-27	333-342	Stockport	https://en.wikipedia.org/wiki/Stockport	LOC	
8-28	342-343	,	_	_	
8-29	344-346	Mr	_	_	
8-30	347-349	Wm	_	_	
8-31	349-350	,	_	_	
8-32	351-356	Fides	_	_	
8-33	356-357	,	_	_	
8-34	358-360	of	_	_	
8-35	361-365	this	_	_	
8-36	366-370	town	_	_	
8-37	370-371	,	_	_	
8-38	372-374	to	_	_	
8-39	375-379	Miss	_	_	
8-40	380-384	Mary	_	_	
8-41	385-394	Pritchaul	_	_	
8-42	394-395	,	_	_	
8-43	396-398	of	_	_	
8-44	399-406	Chester	https://en.wikipedia.org/wiki/Chester	LOC	
8-45	406-407	.	_	_	

#Text=—Lately, Mr Syers, of this town, stat o.aer, to Mrs Nowland, of Liverpool.— On the 25th ulr. at Halifax, Mr Robert Barlow, of Bolton, to Miss G Sharp, younge-t daughter of Mr Jeremiah Sharp, of West House, near Halifax.
9-1	407-408	—	_	_	
9-2	408-414	Lately	_	_	
9-3	414-415	,	_	_	
9-4	416-418	Mr	_	_	
9-5	419-424	Syers	_	_	
9-6	424-425	,	_	_	
9-7	426-428	of	_	_	
9-8	429-433	this	_	_	
9-9	434-438	town	_	_	
9-10	438-439	,	_	_	
9-11	440-444	stat	_	_	
9-12	445-450	o.aer	_	_	
9-13	450-451	,	_	_	
9-14	452-454	to	_	_	
9-15	455-458	Mrs	_	_	
9-16	459-466	Nowland	_	_	
9-17	466-467	,	_	_	
9-18	468-470	of	_	_	
9-19	471-480	Liverpool	https://en.wikipedia.org/wiki/Liverpool	LOC	
9-20	480-481	.	_	_	
9-21	481-482	—	_	_	
9-22	483-485	On	_	_	
9-23	486-489	the	_	_	
9-24	490-494	25th	_	_	
9-25	495-498	ulr	_	_	
9-26	498-499	.	_	_	
9-27	500-502	at	_	_	
9-28	503-510	Halifax	https://en.wikipedia.org/wiki/Halifax,\_West\_Yorkshire	LOC	
9-29	510-511	,	_	_	
9-30	512-514	Mr	_	_	
9-31	515-521	Robert	_	_	
9-32	522-528	Barlow	_	_	
9-33	528-529	,	_	_	
9-34	530-532	of	_	_	
9-35	533-539	Bolton	https://en.wikipedia.org/wiki/Bolton	LOC	
9-36	539-540	,	_	_	
9-37	541-543	to	_	_	
9-38	544-548	Miss	_	_	
9-39	549-550	G	_	_	
9-40	551-556	Sharp	_	_	
9-41	556-557	,	_	_	
9-42	558-566	younge-t	_	_	
9-43	567-575	daughter	_	_	
9-44	576-578	of	_	_	
9-45	579-581	Mr	_	_	
9-46	582-590	Jeremiah	_	_	
9-47	591-596	Sharp	_	_	
9-48	596-597	,	_	_	
9-49	598-600	of	_	_	
9-50	601-605	West	_	_	
9-51	606-611	House	_	_	
9-52	611-612	,	_	_	
9-53	613-617	near	_	_	
9-54	618-625	Halifax	https://en.wikipedia.org/wiki/Halifax,\_West\_Yorkshire	LOC	
9-55	625-626	.	_	_	

#Text=DIED.
10-1	627-631	DIED	_	_	
10-2	631-632	.	_	_	

#Text=On the 1st inst. at Kendal, Mr G orge Atkinson, late of this town.
11-1	633-635	On	_	_	
11-2	636-639	the	_	_	
11-3	640-643	1st	_	_	
11-4	644-648	inst	_	_	
11-5	648-649	.	_	_	
11-6	650-652	at	_	_	
11-7	653-659	Kendal	https://en.wikipedia.org/wiki/Kendal	LOC	
11-8	659-660	,	_	_	
11-9	661-663	Mr	_	_	
11-10	664-665	G	_	_	
11-11	666-670	orge	_	_	
11-12	671-679	Atkinson	_	_	
11-13	679-680	,	_	_	
11-14	681-685	late	_	_	
11-15	686-688	of	_	_	
11-16	689-693	this	_	_	
11-17	694-698	town	_	_	
11-18	698-699	.	_	_	

#Text=—Same day, Miss Louia Kinsey, daughter of Mr William Kinsey, of Macclesfield ; a young lady of the most amiable manners, and generally regretted.
12-1	699-700	—	_	_	
12-2	700-704	Same	_	_	
12-3	705-708	day	_	_	
12-4	708-709	,	_	_	
12-5	710-714	Miss	_	_	
12-6	715-720	Louia	_	_	
12-7	721-727	Kinsey	_	_	
12-8	727-728	,	_	_	
12-9	729-737	daughter	_	_	
12-10	738-740	of	_	_	
12-11	741-743	Mr	_	_	
12-12	744-751	William	_	_	
12-13	752-758	Kinsey	_	_	
12-14	758-759	,	_	_	
12-15	760-762	of	_	_	
12-16	763-775	Macclesfield	https://en.wikipedia.org/wiki/Macclesfield	LOC	
12-17	776-777	;	_	_	
12-18	778-779	a	_	_	
12-19	780-785	young	_	_	
12-20	786-790	lady	_	_	
12-21	791-793	of	_	_	
12-22	794-797	the	_	_	
12-23	798-802	most	_	_	
12-24	803-810	amiable	_	_	
12-25	811-818	manners	_	_	
12-26	818-819	,	_	_	
12-27	820-823	and	_	_	
12-28	824-833	generally	_	_	
12-29	834-843	regretted	_	_	
12-30	843-844	.	_	_	

#Text=—On Thursday last, at Coles Hill House, in Hertfordshire, Mrs Greg, the wife of Thomas Greg, Esq. and eldest daughter of the late Robert Hibbert, Esq. of this town —On Monday last, suddenly, Sir Giles Reoke, Knight, one of the Judges of His Majestys Court of Common Pleas —On Friday morning, Mr John Stephens, of the Mosleys Arms, New York street; he was a truly honest man, respected by all who knew him, and by whom his death is sincerely lamented.
13-1	844-845	—	_	_	
13-2	845-847	On	_	_	
13-3	848-856	Thursday	_	_	
13-4	857-861	last	_	_	
13-5	861-862	,	_	_	
13-6	863-865	at	_	_	
13-7	866-871	Coles	*[1]	BUILDING[1]	
13-8	872-876	Hill	*[1]	BUILDING[1]	
13-9	877-882	House	*[1]	BUILDING[1]	
13-10	882-883	,	_	_	
13-11	884-886	in	_	_	
13-12	887-900	Hertfordshire	https://en.wikipedia.org/wiki/Hertfordshire	LOC	
13-13	900-901	,	_	_	
13-14	902-905	Mrs	_	_	
13-15	906-910	Greg	_	_	
13-16	910-911	,	_	_	
13-17	912-915	the	_	_	
13-18	916-920	wife	_	_	
13-19	921-923	of	_	_	
13-20	924-930	Thomas	_	_	
13-21	931-935	Greg	_	_	
13-22	935-936	,	_	_	
13-23	937-940	Esq	_	_	
13-24	940-941	.	_	_	
13-25	942-945	and	_	_	
13-26	946-952	eldest	_	_	
13-27	953-961	daughter	_	_	
13-28	962-964	of	_	_	
13-29	965-968	the	_	_	
13-30	969-973	late	_	_	
13-31	974-980	Robert	_	_	
13-32	981-988	Hibbert	_	_	
13-33	988-989	,	_	_	
13-34	990-993	Esq	_	_	
13-35	993-994	.	_	_	
13-36	995-997	of	_	_	
13-37	998-1002	this	_	_	
13-38	1003-1007	town	_	_	
13-39	1008-1009	—	_	_	
13-40	1009-1011	On	_	_	
13-41	1012-1018	Monday	_	_	
13-42	1019-1023	last	_	_	
13-43	1023-1024	,	_	_	
13-44	1025-1033	suddenly	_	_	
13-45	1033-1034	,	_	_	
13-46	1035-1038	Sir	_	_	
13-47	1039-1044	Giles	_	_	
13-48	1045-1050	Reoke	_	_	
13-49	1050-1051	,	_	_	
13-50	1052-1058	Knight	_	_	
13-51	1058-1059	,	_	_	
13-52	1060-1063	one	_	_	
13-53	1064-1066	of	_	_	
13-54	1067-1070	the	_	_	
13-55	1071-1077	Judges	_	_	
13-56	1078-1080	of	_	_	
13-57	1081-1084	His	_	_	
13-58	1085-1093	Majestys	_	_	
13-59	1094-1099	Court	_	_	
13-60	1100-1102	of	_	_	
13-61	1103-1109	Common	_	_	
13-62	1110-1115	Pleas	_	_	
13-63	1116-1117	—	_	_	
13-64	1117-1119	On	_	_	
13-65	1120-1126	Friday	_	_	
13-66	1127-1134	morning	_	_	
13-67	1134-1135	,	_	_	
13-68	1136-1138	Mr	_	_	
13-69	1139-1143	John	_	_	
13-70	1144-1152	Stephens	_	_	
13-71	1152-1153	,	_	_	
13-72	1154-1156	of	_	_	
13-73	1157-1160	the	_	_	
13-74	1161-1168	Mosleys	*[2]	BUILDING[2]	
13-75	1169-1173	Arms	*[2]	BUILDING[2]	
13-76	1173-1174	,	_	_	
13-77	1175-1178	New	*[3]	STREET[3]	
13-78	1179-1183	York	*[3]	STREET[3]	
13-79	1184-1190	street	*[3]	STREET[3]	
13-80	1190-1191	;	_	_	
13-81	1192-1194	he	_	_	
13-82	1195-1198	was	_	_	
13-83	1199-1200	a	_	_	
13-84	1201-1206	truly	_	_	
13-85	1207-1213	honest	_	_	
13-86	1214-1217	man	_	_	
13-87	1217-1218	,	_	_	
13-88	1219-1228	respected	_	_	
13-89	1229-1231	by	_	_	
13-90	1232-1235	all	_	_	
13-91	1236-1239	who	_	_	
13-92	1240-1244	knew	_	_	
13-93	1245-1248	him	_	_	
13-94	1248-1249	,	_	_	
13-95	1250-1253	and	_	_	
13-96	1254-1256	by	_	_	
13-97	1257-1261	whom	_	_	
13-98	1262-1265	his	_	_	
13-99	1266-1271	death	_	_	
13-100	1272-1274	is	_	_	
13-101	1275-1284	sincerely	_	_	
13-102	1285-1293	lamented	_	_	
13-103	1293-1294	.	_	_	

#Text=—On Saturday the 5th inst. highly and justly respected, 3ged 39, Mrs Litt, wife of Mr Joseph JLitt, calico printer, ot this town.
14-1	1294-1295	—	_	_	
14-2	1295-1297	On	_	_	
14-3	1298-1306	Saturday	_	_	
14-4	1307-1310	the	_	_	
14-5	1311-1314	5th	_	_	
14-6	1315-1319	inst	_	_	
14-7	1319-1320	.	_	_	
14-8	1321-1327	highly	_	_	
14-9	1328-1331	and	_	_	
14-10	1332-1338	justly	_	_	
14-11	1339-1348	respected	_	_	
14-12	1348-1349	,	_	_	
14-13	1350-1354	3ged	_	_	
14-14	1355-1357	39	_	_	
14-15	1357-1358	,	_	_	
14-16	1359-1362	Mrs	_	_	
14-17	1363-1367	Litt	_	_	
14-18	1367-1368	,	_	_	
14-19	1369-1373	wife	_	_	
14-20	1374-1376	of	_	_	
14-21	1377-1379	Mr	_	_	
14-22	1380-1386	Joseph	_	_	
14-23	1387-1392	JLitt	_	_	
14-24	1392-1393	,	_	_	
14-25	1394-1400	calico	_	_	
14-26	1401-1408	printer	_	_	
14-27	1408-1409	,	_	_	
14-28	1410-1412	ot	_	_	
14-29	1413-1417	this	_	_	
14-30	1418-1422	town	_	_	
14-31	1422-1423	.	_	_	
